"","Year","state","Prevalencepercent","athsmaprevalence","Ozone","PM10","NO2"
"195",2014,"Iowa",8.5,"201,266",0.0408752583333333,23.613269,9.371983375
"196",2014,"Kansas",8.7,"189,350",0.0463813833333333,22.0536777142857,9.0542787
"197",2014,"Kentucky",11.9,"402,690",0.0441062916666667,16.0035409411765,12.3365398571429
"198",2014,"Louisiana",7.7,"270,261",0.0384057291666667,19.66720425,11.6133764545455
"199",2014,"Maine",11.6,"122,881",0.0371646176470588,14.8313812222222,7.53653666666667
"200",2014,"Maryland",8.5,"393,571",0.0460337875,13.6631404,16.1296643
"201",2014,"Massachusetts",12,"636,176",0.0408885921052632,12.56201075,14.9568349583333
"202",2014,"Michigan",10.9,"831,656",0.0446393333333333,22.0412903809524,14.5098977
"203",2014,"Minnesota",8.4,"350,818",0.0376602941176471,19.5774596,13.907307625
"204",2014,"Mississippi",7.4,"166,117",0.041133925,17.6014635,8.2166745
"205",2014,"Missouri",9.7,"450,530",0.0439997826086957,22.5315507894737,16.8881565
"206",2014,"Montana",9.6,"76,683",0.03993471875,15.5354385471698,2.7215295
"207",2014,"Nebraska",7.7,"108,805",0.0414795,23.1391371538462,NA
"208",2014,"Nevada",8.1,"172,343",0.0482804166666667,23.22356,20.070403125
"209",2014,"New Hampshire",10.2,"107,371",0.0405414375,9.85239325,4.2460675
"210",2014,"New Jersey",8.3,"570,238",0.0433717794117647,18.0451775,22.3526699090909
"211",2014,"New Mexico",9.9,"154,861",0.0452145928571429,28.451028516129,11.2813667222222
"212",2014,"New York",10.7,"1,642,598",0.040158390625,NA,17.6131367857143
"213",2014,"North Carolina",7.8,"592,279",0.0445839944444444,12.7897434117647,12.5146623333333
"214",2014,"North Dakota",8.7,"50,533",0.0407073333333333,13.5629200625,5.13950555555556
"215",2014,"Ohio",10.8,"957,711",0.0441172254901961,19.0375005283019,19.0935710833333
"216",2014,"Oklahoma",9.7,"284,303",0.044358375,21.7975125263158,10.7609289
"217",2014,"Oregon",10.2,"314,501",0.03936825,12.2466682222222,14.632983
"218",2014,"Pennsylvania",9.8,"979,527",0.0436194017857143,16.5990481153846,13.526555125
"219",2014,"Rhode Island",10.8,"89,462",0.0446391666666667,12.506346,14.0011155
"220",2014,"South Carolina",8.3,"309,409",0.041302875,15.6491613333333,10.0845955
"221",2014,"South Dakota",7.5,"48,213",0.0410909583333333,18.0473508421053,6.519530375
"222",2014,"Tennessee",8.9,"448,189",0.0445933586956522,17.0488516315789,14.4435313
"223",2014,"Texas",6.7,"1,312,573",0.0398611546052632,24.1403933666667,11.3596584673913
"224",2014,"Utah",8.7,"178,514",0.0538173875968992,18.547334,9.79828697619048
"225",2014,"Vermont",11.3,"56,644",0.04048775,10.32378875,11.2953845
"226",2015,"Alabama",9.9,"370,128",0.0403143369565217,18.3946230769231,17.87053475
"227",2015,"Alaska",9.2,"50,792",0.0294775833333333,16.9891543461538,17.671058
"228",2015,"Arizona",9.3,"479,791",0.0489942061403509,28.9517656357143,21.6435236
"229",2015,"Arkansas",10.1,"226,691",0.0404812222222222,19.5577213333333,13.39485
"230",2015,"California",7.7,"2,290,491",0.045183100591716,27.1773111086262,15.0162083545455
"231",2015,"Colorado",9,"375,709",0.0523374888059701,17.3658382,16.7603415666667
"232",2015,"Connecticut",10.5,"294,997",0.0487280416666667,13.878446,15.510739875
"233",2015,"Delaware",9.2,"67,950",0.0464737142857143,NA,18.511734
"234",2015,"Florida",7.4,"1,197,036",0.0371686313559322,16.358124804878,10.426996875
"235",2015,"Georgia",9.2,"708,933",0.0413013333333333,15.8446698,14.4537591
"236",2015,"Hawaii",10,"111,142",0.028887125,16.2032685,5.6800205
"237",2015,"Idaho",9.1,"110,735",0.0489046,18.9756316190476,18.784589
"238",2015,"Illinois",8.4,"828,784",0.0432266959459459,26.5088701428571,18.9307695714286
"239",2015,"Indiana",10.2,"512,557",0.0435112336956522,20.4845030588235,13.0968367142857
"240",2015,"Iowa",7.6,"181,072",0.04088355,23.1369592592593,8.9575745
"241",2015,"Kansas",8.7,"188,514",0.0440564318181818,19.8603464666667,8.7900935
"242",2015,"Kentucky",11.9,"403,499",0.0434696715686275,17.6375735,12.2872047142857
"243",2015,"Louisiana",8.2,"288,759",0.0387011704545455,19.6061083,10.5430132777778
"244",2015,"Maine",11.2,"120,034",0.0373921470588235,15.4053988,9.68001675
"245",2015,"Maryland",8.8,"408,914",0.0474603125,14.6380426,16.1642703
"246",2015,"Massachusetts",10.2,"547,096",0.042070375,12.5408775,14.64801985
"247",2015,"Michigan",10.2,"781,517",0.0448872416666667,23.8365172,16.1503533125
"248",2015,"Minnesota",7.4,"310,116",0.0388931176470588,21.8330124166667,12.5515959
"249",2015,"Mississippi",7.8,"175,845",0.039632875,18.9191835,10.34910925
"250",2015,"Missouri",9.6,"448,562",0.0428305869565217,20.5384237391304,17.0550441111111
"251",2015,"Montana",8.9,"71,210",0.04145046875,20.6971974307692,2.3368735
"252",2015,"Nebraska",7.2,"101,854",0.0420639423076923,21.913652,NA
"253",2015,"Nevada",8.1,"179,450",0.04703318,17.8556251285714,22.5572583
"254",2015,"New Hampshire",10.1,"107,224",0.0407761458333333,11.624429,5.351577
"255",2015,"New Jersey",7.2,"501,572",0.0452777021276596,23.0178615,22.0393195454545
"256",2015,"New Mexico",9.9,"155,818",0.0455762727272727,21.8919394347826,10.83288625
"257",2015,"New York",9.9,"1,532,508",0.0413323984375,NA,19.1438412142857
"258",2015,"North Carolina",8.2,"633,683",0.0450450348837209,12.5174949545455,11.4530229166667
"259",2015,"North Dakota",9,"52,567",0.0435148636363636,14.3816787272727,4.79426927777778
"260",2015,"Ohio",10,"896,185",0.0445461715686275,20.5411862727273,17.8758994285714
"261",2015,"Oklahoma",9.5,"279,781",0.0431587065217391,17.3920806666667,13.48854375
"262",2015,"Oregon",11.2,"351,437",0.0424821818181818,13.4149525454545,16.1413605
"263",2015,"Pennsylvania",10.2,"1,020,306",0.045139320754717,17.4599768333333,14.0416129318182
"264",2015,"Rhode Island",11,"91,992",0.04652325,15.3265916,14.802528625
"265",2015,"South Carolina",8.2,"309,943",0.0414559125,15.4830013333333,9.137857
"266",2015,"South Dakota",8.4,"54,406",0.045259,19.5863238148148,6.545085375
"267",2015,"Tennessee",9,"455,946",0.0435427407407407,21.1942021578947,13.515805
"268",2015,"Texas",7.6,"1,528,177",0.0402407183333333,22.068164,11.3379406170213
"269",2015,"Utah",9,"187,377",0.0535548203125,18.6191397083333,11.4210148125
"270",2015,"Vermont",11,"55,265",0.04194725,10.99448225,11.4490155
"271",2016,"Alabama",9.7,"365,041",0.0441092173913043,18.0517128571429,18.87529475
"272",2016,"Alaska",8.8,"48,398",0.0281809166666667,15.997303,18.493658
"273",2016,"Arizona",9.4,"491,794",0.0483120611111111,35.3181085319149,21.2257888
"274",2016,"Arkansas",8.5,"193,863",0.04168009375,18.4651256666667,13.13720325
"275",2016,"California",7.8,"2,366,008",0.0450091926470588,28.9027345077399,14.232404853211
"276",2016,"Colorado",8.8,"374,598",0.0513628064516129,18.4561239387755,17.1839906785714
